AMount,Total,SRNO,Date,AveragePrice,BuyORSell,OrHold,Price,TQQQInvest,TOtQty,TQQQInvested,TQQQValues,PL,Adj Close,QQQInvest,QTRY,QQQInvested,QQQValues,PL,Invested,Price,,,,SOXL,10,,,,,
0,"19,000.00",257,2/12/2018,10.55,S,H,9.37,0.00,61.35,500.00,574.85,14.97%,17.99,0,"2,317.55","46,161.08","41,692.69",-9.68%,"19,000.00","42,267.53",122.46%,0,,,,,,,,
0,"19,000.00",258,2/13/2018,10.32,S,H,9.35,0.00,61.35,500.00,573.62,14.72%,18.17,0,"2,317.55","46,161.08","42,109.85",-8.78%,"19,000.00","42,683.47",124.65%,0,,,,,,,,
0,"19,000.00",259,2/14/2018,10.14,S,H,9.98,0.00,61.35,500.00,612.27,22.45%,17.61,0,"2,317.55","46,161.08","40,812.02",-11.59%,"19,000.00","41,424.29",118.02%,0,,,,,,,,
0,"19,000.00",260,2/15/2018,9.98,B,B,10.35,"40,812.02","4,004.54","41,312.02","41,446.99",0.33%,17.79,0,0.00,0.00,0.00,0.00%,"19,000.00","41,446.99",118.14%,40.81201996,,,,,,,,
0,"19,000.00",261,2/16/2018,9.84,B,H,10.23,0.00,"4,004.54","41,312.02","40,966.44",-0.84%,18.05,0,0.00,0.00,0.00,0.00%,"19,000.00","40,966.44",115.61%,0,,,,,,,,
0,"19,000.00",262,2/20/2018,9.95,B,H,10.76,0.00,"4,004.54","41,312.02","43,088.85",4.30%,17.80,0,0.00,0.00,0.00,0.00%,"19,000.00","43,088.85",126.78%,0,,,,,,,,
0,"19,000.00",263,2/21/2018,10.06,B,H,10.4,0.00,"4,004.54","41,312.02","41,647.22",0.81%,17.18,0,0.00,0.00,0.00,0.00%,"19,000.00","41,647.22",119.20%,0,,,,,,,,
0,"19,000.00",264,2/22/2018,10.18,B,H,10.32,0.00,"4,004.54","41,312.02","41,326.85",0.04%,17.31,0,0.00,0.00,0.00,0.00%,"19,000.00","41,326.85",117.51%,0,,,,,,,,
0,"19,000.00",265,2/23/2018,10.40,B,H,10.99,0.00,"4,004.54","41,312.02","44,009.89",6.53%,17.77,0,0.00,0.00,0.00,0.00%,"19,000.00","44,009.89",131.63%,0,,,,,,,,
0,"19,000.00",266,2/26/2018,10.64,B,H,11.69,0.00,"4,004.54","41,312.02","46,813.07",13.32%,17.79,0,0.00,0.00,0.00,0.00%,"19,000.00","46,813.07",146.38%,0,,,,,,,,
0,"19,000.00",267,2/27/2018,10.94,B,H,11.58,0.00,"4,004.54","41,312.02","46,372.57",12.25%,17.72,0,0.00,0.00,0.00,0.00%,"19,000.00","46,372.57",144.07%,0,,,,,,,,
0,"19,000.00",268,2/28/2018,11.16,B,H,11.26,0.00,"4,004.54","41,312.02","45,091.12",9.15%,18.04,0,0.00,0.00,0.00,0.00%,"19,000.00","45,091.12",137.32%,0,,,,,,,,
0,"19,000.00",269,3/1/2018,11.27,S,S,10.72,0.00,0.00,0.00,0.00,0.00%,18.42,"45,091.12","2,447.94","45,091.12","45,091.12",0.00%,"19,000.00","45,091.12",137.32%,45.09112071,,,,,,,,
1000,"20,000.00",270,3/2/2018,11.35,S,H,11.27,500.00,44.37,500.00,500.00,0.00%,17.93,500,"2,475.83","45,591.12","44,391.63",-2.63%,"20,000.00","44,891.63",124.46%,1,,,,,,,,
0,"20,000.00",271,3/5/2018,11.39,B,B,11.58,"44,391.63","3,877.84","44,891.63","44,905.38",0.03%,17.84,0,0.00,0.00,0.00,0.00%,"20,000.00","44,905.38",124.53%,44.39162835,,,,,,,,
0,"20,000.00",272,3/6/2018,11.51,B,H,12.1,0.00,"3,877.84","44,891.63","46,921.86",4.52%,17.86,0,0.00,0.00,0.00,0.00%,"20,000.00","46,921.86",134.61%,0,,,,,,,,
0,"20,000.00",273,3/7/2018,11.64,B,H,12.2,0.00,"3,877.84","44,891.63","47,309.64",5.39%,17.81,0,0.00,0.00,0.00,0.00%,"20,000.00","47,309.64",136.55%,0,,,,,,,,
0,"20,000.00",274,3/8/2018,11.82,B,H,12.25,0.00,"3,877.84","44,891.63","47,503.53",5.82%,18.10,0,0.00,0.00,0.00,0.00%,"20,000.00","47,503.53",137.52%,0,,,,,,,,
0,"20,000.00",275,3/9/2018,12.02,B,H,13.01,0.00,"3,877.84","44,891.63","50,450.69",12.38%,17.75,0,0.00,0.00,0.00,0.00%,"20,000.00","50,450.69",152.25%,0,,,,,,,,
0,"20,000.00",276,3/12/2018,12.21,B,H,13.42,0.00,"3,877.84","44,891.63","52,040.61",15.92%,18.06,0,0.00,0.00,0.00,0.00%,"20,000.00","52,040.61",160.20%,0,,,,,,,,
0,"20,000.00",277,3/13/2018,12.39,B,H,12.79,0.00,"3,877.84","44,891.63","49,597.57",10.48%,18.34,0,0.00,0.00,0.00,0.00%,"20,000.00","49,597.57",147.99%,0,,,,,,,,
